"2.4.3a Obrestne mere monetarnih finanènih institucij - nova posojila"
"gospodinjstvom v domaèi valuti po spremenljivkah: Datum, Frekvenca ,"
"Postavke"

" ";" ";"Gospodinjstva, stanovanjska posojila, variabilna in do 1 leta fiksna OM";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, stanovanjska  posojila, fiksna OM nad 5 do 10 let";"Gospodinjstva, stanovanjska posojila, fiksna OM nad 10 let";"Gospodinjstva, z. stanovanjska posojila, variabilna in fiksna OM do 1 leta";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 1 do 5 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 5 in do 10 let";"Gospodinjstva, z. stanovanjska posojila, fiksna OM nad 10 let";"Efektivna obrestna mera, stanovanjska posojila"
" ";"Meseèna";1,97;3,58;2,57;2,54;1,96;2,53;2,18;2,50;2,53
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.12.2016"
" ";"Meseèna";2,04;3,58;2,49;2,56;2,02;2,12;2,38;2,53;2,58
" ";"Letna";2,02;3,34;2,66;2,80;2,01;2,63;2,41;2,75;2,63
"31.01.2017"
" ";"Meseèna";2,05;3,64;2,55;2,56;2,03;2,13;2,40;2,52;2,60
" ";"Letna";-;-;-;-;-;-;-;-;-
"28.02.2017"
" ";"Meseèna";2,01;3,56;2,63;2,57;1,97;2,96;2,29;2,51;2,59
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.03.2017"
" ";"Meseèna";2,03;3,39;2,60;2,62;2,01;3,45;2,72;2,60;2,71
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.04.2017"
" ";"Meseèna";2,02;3,22;2,66;2,74;2,00;2,65;2,48;2,68;2,77
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.05.2017"
" ";"Meseèna";2,04;3,09;2,53;2,76;2,00;2,77;2,38;2,69;2,78
" ";"Letna";-;-;-;-;-;-;-;-;-
"30.06.2017"
" ";"Meseèna";2,04;3,37;2,63;2,70;1,98;2,78;2,43;2,66;2,77
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.07.2017"
" ";"Meseèna";2,01;2,74;2,72;2,80;1,99;2,45;2,45;2,77;2,75
" ";"Letna";-;-;-;-;-;-;-;-;-
"31.08.2017"
" ";"Meseèna";2,01;3,48;2,72;2,85;1,98;2,39;2,43;2,81;2,77
" ";"Letna";-;-;-;-;-;-;-;-;-

"Nov posel je opredeljen kot nov sporazum med gospodinjstvom ali "
"nefinanèno družbo in kreditno ali drugo institucijo. Novi sporazumi "
"vkljuèujejo vse finanène pogodbe, katerih pogoji prviè doloèajo "
"obrestno mero za depozit ali posojilo, in vsa nova pogajanja glede "
