"Bruto domaèi proizvod po: MERITVE , LETO"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Letna sprememba obsega (%)";3.3;-7.8;1.2;0.6;-2.7;-1.1;3.0;2.3;3.1

"Vir: Statistièni urad Republike Slovenije. "
" "
"Podaki pred letom 2007 so preraèunani v evre po fiksnem teèaju 1 evro "
"= 239,64 tolarja."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8235 target=_blank) Metodološka pojasnila "

